epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,204.086,1.14034,0.83469,1.00411,0.77241,0.70702,0.76399,0.48636,1.23309,0.89861,1.06264,0.000456863,0.000456863,0.000456863
43,208.605,1.16737,0.84638,1.02042,0.75579,0.73431,0.78003,0.47071,1.31306,0.91031,1.13859,0.00044925,0.00044925,0.00044925
44,213.114,1.19201,0.84482,1.02141,0.75733,0.7535,0.77093,0.48773,1.23048,0.88915,1.06761,0.000441637,0.000441637,0.000441637
45,217.614,1.16201,0.8282,0.99764,0.78152,0.75624,0.78125,0.48662,1.28974,0.90756,1.10869,0.000434024,0.000434024,0.000434024
46,222.04,1.15512,0.82115,1.00093,0.76646,0.75736,0.77942,0.49253,1.21202,0.85973,1.06689,0.000426411,0.000426411,0.000426411
47,226.529,1.14278,0.83221,1.00714,0.8201,0.72821,0.77223,0.48878,1.25809,0.90261,1.1025,0.000418797,0.000418797,0.000418797
48,230.926,1.12672,0.80466,1.00405,0.82204,0.71162,0.7801,0.48708,1.23181,0.86491,1.08408,0.000411184,0.000411184,0.000411184
49,235.382,1.11377,0.79348,0.99313,0.825,0.71608,0.77215,0.49668,1.25889,0.87975,1.08496,0.000403571,0.000403571,0.000403571
50,240.069,1.10058,0.79936,0.98376,0.75817,0.76552,0.77776,0.50011,1.24722,0.86716,1.09386,0.000395958,0.000395958,0.000395958
51,244.704,1.10774,0.78694,0.98771,0.79885,0.7219,0.77395,0.48468,1.22724,0.87407,1.07458,0.000388345,0.000388345,0.000388345
52,249.385,1.08899,0.7706,0.97863,0.76954,0.75587,0.78132,0.49826,1.22062,0.85992,1.07324,0.000380732,0.000380732,0.000380732
53,254.31,1.08632,0.76998,0.97604,0.79888,0.72046,0.7924,0.50934,1.22836,0.84542,1.09354,0.000373119,0.000373119,0.000373119
54,259.244,1.06833,0.75217,0.97742,0.76931,0.74095,0.78964,0.5073,1.21931,0.85334,1.08072,0.000365506,0.000365506,0.000365506
55,263.944,1.06159,0.74632,0.97691,0.7857,0.75073,0.78968,0.50896,1.22393,0.83937,1.07139,0.000357893,0.000357893,0.000357893
