epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,207.894,1.07346,0.79263,0.97081,0.69915,0.77196,0.77197,0.49707,1.25136,0.86374,1.10567,0.000456863,0.000456863,0.000456863
43,212.498,1.0644,0.78376,0.97347,0.74934,0.73787,0.78238,0.48866,1.24256,0.83439,1.09187,0.00044925,0.00044925,0.00044925
44,217.28,1.04011,0.7635,0.96315,0.77042,0.77033,0.78666,0.50884,1.23792,0.86622,1.10369,0.000441637,0.000441637,0.000441637
45,222.056,1.04704,0.76423,0.95746,0.84055,0.73136,0.80175,0.51573,1.23184,0.84596,1.09989,0.000434024,0.000434024,0.000434024
46,226.89,1.01866,0.75096,0.95821,0.78791,0.74326,0.78399,0.50746,1.24457,0.893,1.12237,0.000426411,0.000426411,0.000426411
47,231.824,1.02316,0.7631,0.96052,0.8068,0.75043,0.80019,0.51558,1.19146,0.83253,1.08116,0.000418797,0.000418797,0.000418797
48,236.638,1.0241,0.74801,0.96142,0.81607,0.75048,0.79749,0.49498,1.19521,0.84854,1.07589,0.000411184,0.000411184,0.000411184
49,241.524,1.03357,0.74907,0.96098,0.79466,0.7489,0.79328,0.50147,1.24486,0.88608,1.11386,0.000403571,0.000403571,0.000403571
50,246.474,1.02609,0.75203,0.95827,0.84051,0.74556,0.79504,0.5067,1.19282,0.82661,1.0853,0.000395958,0.000395958,0.000395958
51,251.408,1.02439,0.73997,0.95473,0.82277,0.77635,0.80685,0.51854,1.21134,0.82595,1.08688,0.000388345,0.000388345,0.000388345
52,256.201,1.00387,0.72671,0.94034,0.82978,0.76147,0.8076,0.5082,1.21703,0.83073,1.09178,0.000380732,0.000380732,0.000380732
53,260.776,1.0154,0.72672,0.94977,0.82783,0.75109,0.80849,0.51237,1.22804,0.84104,1.11185,0.000373119,0.000373119,0.000373119
54,265.345,1.01141,0.71707,0.95078,0.84394,0.75159,0.79837,0.50911,1.21545,0.84637,1.09729,0.000365506,0.000365506,0.000365506
55,270.091,0.99146,0.70913,0.94816,0.85089,0.72872,0.80496,0.51242,1.19424,0.83715,1.07332,0.000357893,0.000357893,0.000357893
56,274.744,1.02069,0.70701,0.9387,0.79936,0.75304,0.80633,0.51769,1.22312,0.85312,1.09729,0.00035028,0.00035028,0.00035028
57,279.342,0.99367,0.7118,0.95176,0.82328,0.75016,0.81373,0.50847,1.25106,0.83679,1.10248,0.000342666,0.000342666,0.000342666
58,283.921,0.98721,0.70728,0.94677,0.73325,0.79597,0.81436,0.52655,1.22254,0.82867,1.08977,0.000335053,0.000335053,0.000335053
59,288.514,0.98922,0.70446,0.94756,0.84118,0.72844,0.80797,0.5213,1.23992,0.83163,1.10018,0.00032744,0.00032744,0.00032744
