Dataset,mAP50,mAP50-95,Precision,Recall,Fitness,Preprocess_ms,Inference_ms,Postprocess_ms
base,0.7965221119307867,0.4928619066544371,0.8464221475243083,0.7664244390577178,0.4928619066544371,2.5052119999963907,14.8176400000375,0.674512000005052
geometric,0.8175004022566905,0.5098712409639873,0.8830519595354729,0.7561423151727789,0.5098712409639873,6.580291999998735,21.202827999950387,2.6280719999340363
color,0.8254237822898745,0.5140401647077255,0.893438773405915,0.7616262729229606,0.5140401647077255,4.6328120000544,14.171651999931782,7.045771999983117
kernel,0.830225288766575,0.5222886460026512,0.8445737261357371,0.7959666472186633,0.5222886460026512,3.365828000023612,16.02768400000059,1.5156159999605734
combined,0.8324408985546591,0.5210092329045547,0.8496243184382064,0.8240895141443949,0.5210092329045547,3.5172720000264235,19.465480000071693,1.9332519998715725
