Dataset,mAP50,mAP50-95,Precision,Recall
geometric,0.8309584838333762,0.5076760574728161,0.8420093965687766,0.7841838617220172
color,0.827570688253886,0.5240353395981572,0.9015167188543466,0.7718170328622904
kernel,0.8283683326361664,0.5131479927609659,0.8628426989142497,0.7861398538717718
