epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,263.312,1.06975,0.80504,0.98045,0.73764,0.74182,0.7652,0.49272,1.22968,0.8754,1.0962,0.000456863,0.000456863,0.000456863
43,269.458,1.03536,0.7899,0.9688,0.74266,0.79557,0.7774,0.50697,1.19338,0.85296,1.09687,0.00044925,0.00044925,0.00044925
44,275.402,1.0458,0.78088,0.9676,0.70916,0.77961,0.78655,0.51076,1.19593,0.85248,1.10183,0.000441637,0.000441637,0.000441637
45,281.439,1.05625,0.77033,0.9576,0.72877,0.71843,0.77475,0.4951,1.20769,0.85286,1.08784,0.000434024,0.000434024,0.000434024
46,290.227,1.02793,0.77819,0.96293,0.79009,0.73008,0.76033,0.49532,1.26841,0.91509,1.13258,0.000426411,0.000426411,0.000426411
47,297.775,1.03499,0.77257,0.96827,0.85457,0.70748,0.7705,0.50474,1.2541,0.87845,1.11913,0.000418797,0.000418797,0.000418797
48,303.853,1.02915,0.75361,0.95855,0.79282,0.73901,0.76366,0.50372,1.18076,0.85404,1.07309,0.000411184,0.000411184,0.000411184
49,310.101,1.01408,0.74995,0.95981,0.77977,0.71162,0.77074,0.50236,1.2221,0.84551,1.09242,0.000403571,0.000403571,0.000403571
50,316.31,1.02187,0.7374,0.9559,0.79334,0.74089,0.78145,0.50351,1.1931,0.8214,1.06706,0.000395958,0.000395958,0.000395958
51,322.667,0.99708,0.73038,0.95539,0.80294,0.73332,0.76478,0.49685,1.20224,0.82055,1.06104,0.000388345,0.000388345,0.000388345
52,328.892,1.0127,0.74623,0.96046,0.75342,0.75022,0.76918,0.50642,1.20867,0.82936,1.07346,0.000380732,0.000380732,0.000380732
53,335.036,1.02237,0.73711,0.95309,0.84168,0.74769,0.79092,0.52317,1.18528,0.81952,1.06648,0.000373119,0.000373119,0.000373119
54,341.462,0.98257,0.71634,0.95064,0.82247,0.73767,0.79962,0.5264,1.17148,0.80988,1.06209,0.000365506,0.000365506,0.000365506
55,347.683,0.99728,0.72212,0.94852,0.8053,0.77051,0.78328,0.49906,1.19991,0.83199,1.0771,0.000357893,0.000357893,0.000357893
